MLN_MID,IMDbMovieID,MovieName,MovieYear,MovieRating,MovieGenreList
1,tt0124296,Big and Little Wong Tin Bar,1962,7.00,"Action,Adventure,Drama"
2,tt0124891,The Story of Ching Hsian-Lien,1963,7.00,"Drama,Musical"
3,tt0064804,Le petit bougnat,1970,5.80,"Comedy,Drama"
4,tt0068990,Napoleon and Samantha,1972,6.10,"Adventure,Drama"
5,tt0068000,Snake Fist Fighter,1973,5.40,"Action,Comedy,Drama"
6,tt0070017,Ding tian li di,1973,4.60,"Action,Drama,War"
7,tt0070049,Bei di yan zhi,1973,6.50,"Drama,Romance"
8,tt0070510,Paper Moon,1973,8.20,"Comedy,Crime,Drama"
9,tt0071550,The Slap,1974,6.30,"Comedy,Drama,Romance"
10,tt1691826,Ariane,1974,5.20,\N
11,tt0071483,Wrong Move,1975,7.10,Drama
12,tt0073114,The Story of Adele H,1975,7.40,"Biography,Drama,History"
13,tt0073775,The Swiss Family Robinson,1975,6.30,Adventure
14,tt0185591,Pai an jing ji,1975,6.90,Drama
15,tt0073694,Shao Lin men,1976,6.00,"Action,Drama"
16,tt0074174,The Bad News Bears,1976,7.30,"Comedy,Drama,Family"
17,tt0074184,Barocco,1976,6.30,"Crime,Drama,Romance"
18,tt0074256,Bugsy Malone,1976,6.90,"Comedy,Crime,Family"
19,tt0074459,Echoes of a Summer,1976,6.70,Drama
20,tt0074747,The Killer Meteors,1976,5.20,"Action,Thriller"
21,tt0074806,The Little Girl Who Lives Down the Lane,1976,7.10,"Drama,Mystery,Thriller"
22,tt0074811,The Tenant,1976,7.80,"Drama,Thriller"
23,tt0074964,Nickelodeon,1976,6.30,Comedy
24,tt0075201,Shaolin Wooden Men,1976,6.60,Action
25,tt0075314,Taxi Driver,1976,8.30,"Crime,Drama"
26,tt0075439,New Fists of Fury,1976,5.60,"Action,Drama"
27,tt0076054,Freaky Friday,1976,6.30,"Comedy,Family,Fantasy"
28,tt0076726,Slumber Party '57,1976,4.20,"Comedy,Drama"
29,tt0075396,Violette & Fran??ois,1977,6.60,"Comedy,Crime,Drama"
30,tt0075718,The Bad News Bears in Breaking Training,1977,5.50,"Comedy,Family,Sport"
31,tt0075807,Candleshoe,1977,6.80,"Adventure,Comedy,Drama"
32,tt0075815,Beach House,1977,6.50,Comedy
33,tt0076121,Ha-Gan,1977,6.10,Drama
34,tt0076172,I Never Promised You a Rose Garden,1977,6.60,"Drama,Fantasy"
35,tt0076227,To Kill with Intrigue,1977,5.40,"Action,Drama"
36,tt0076239,Joyride,1977,5.70,"Adventure,Comedy,Crime"
37,tt0076401,Stop Calling Me Baby!,1977,6.40,"Comedy,Drama,Romance"
38,tt0076759,Star Wars: Episode IV - A New Hope,1977,8.60,"Action,Adventure,Fantasy"
39,tt0076780,Summer City,1977,4.50,"Drama,Thriller"
40,tt0076306,Boarding School,1978,4.70,Comedy
41,tt0077199,The Bad News Bears Go to Japan,1978,3.50,"Comedy,Family,Sport"
42,tt0077277,Bruce and Shao-lin Kung Fu 2,1978,7.40,"Action,Adventure"
43,tt0077373,Stay as You Are,1978,6.30,"Drama,Romance"
44,tt0077474,The Driver,1978,7.20,"Action,Crime,Thriller"
45,tt0077541,Magnificent Bodyguards,1978,5.80,Action
46,tt0077651,Halloween,1978,7.80,"Horror,Thriller"
47,tt0077743,International Velvet,1978,5.80,"Drama,Family,Sport"
48,tt0078047,Our Winning Season,1978,5.60,Drama
49,tt0078128,Spiritual Kung Fu,1978,5.90,"Action,Comedy,Fantasy"
50,tt0078228,The Seniors,1978,4.50,Comedy
51,tt0078251,She he ba bu,1978,6.70,"Action,Drama"
52,tt0078252,Snake in the Eagle's Shadow,1978,7.50,"Action,Comedy"
53,tt0080179,Drunken Master,1978,7.60,"Action,Comedy"
54,tt0080623,Yi zhao ban shi chuang jiang hu,1978,5.90,"Action,Comedy"
55,tt0078902,Breaking Away,1979,7.70,"Comedy,Drama,Romance"
56,tt0079315,The Fearless Hyena,1979,6.80,"Action,Comedy"
57,tt0079477,A Little Romance,1979,7.50,"Adventure,Comedy,Romance"
58,tt0079484,Dragon Fist,1979,6.20,"Action,Drama"
59,tt0079501,Mad Max,1979,7.00,"Action,Adventure,Sci-Fi"
60,tt0079596,My Brilliant Career,1979,7.30,"Biography,Drama,Romance"
61,tt0079641,Nosferatu the Vampyre,1979,7.60,Horror
62,tt0079688,Over the Edge,1979,7.50,"Crime,Drama"
63,tt0079756,The Promise,1979,6.50,"Drama,Romance"
64,tt0079831,The Runner Stumbles,1979,6.10,Drama
65,tt0079871,Scum,1979,7.60,"Crime,Drama"
66,tt0079920,Les soeurs Bront??,1979,6.70,"Biography,Drama"
67,tt0080009,Tess,1979,7.30,"Drama,Romance"
68,tt0080013,That Summer!,1979,7.10,Drama
69,tt0080024,Tim,1979,6.50,"Drama,Romance"
70,tt0080436,Battle Creek Brawl,1980,5.80,"Action,Comedy,Crime"
71,tt0080500,Carny,1980,6.50,Drama
72,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.80,"Action,Adventure,Fantasy"
73,tt0080714,Falling in Love Again,1980,5.20,"Drama,Romance"
74,tt0080749,The Fog,1980,6.80,"Horror,Thriller"
75,tt0080756,Foxes,1980,6.10,Drama
76,tt0080809,Gorp,1980,3.80,Comedy
77,tt0080881,The Hollywood Knights,1980,6.30,Comedy
78,tt0081060,Little Darlings,1980,6.40,"Comedy,Drama"
79,tt0081071,The Long Riders,1980,7.10,Western
80,tt0081159,Midnight Madness,1980,6.50,Comedy
81,tt0081207,My Bodyguard,1980,7.10,"Comedy,Drama,Family"
82,tt0081283,Ordinary People,1980,7.80,Drama
83,tt0081383,Prom Night,1980,5.40,"Horror,Thriller"
84,tt0081499,The Young Master,1980,7.30,"Action,Adventure,Comedy"
85,tt0081617,Terror Train,1980,5.90,"Horror,Thriller"
86,tt0081646,Touched by Love,1980,6.90,Drama
87,tt0081696,Urban Cowboy,1980,6.20,"Drama,Romance,Western"
88,tt0082100,The Party,1980,6.70,"Comedy,Drama,Romance"
89,tt0072173,Malibu Hot Summer,1981,2.50,Comedy
90,tt0080536,Circle of Two,1981,5.90,Drama
91,tt0081681,Underground Aces,1981,4.40,Comedy
92,tt0082001,All Night Long,1981,5.90,"Comedy,Drama,Romance"
93,tt0082022,Next Year If All Goes Well,1981,5.80,Comedy
94,tt0082089,Body Heat,1981,7.40,"Crime,Drama,Romance"
95,tt0082145,Cattle Annie and Little Britches,1981,6.10,"Drama,Western"
96,tt0082146,Caveman,1981,5.70,"Comedy,Romance"
97,tt0082245,Deadly Blessing,1981,5.50,Horror
98,tt0082352,Eyes of a Stranger,1981,5.90,"Horror,Thriller"
99,tt0082432,Gallipoli,1981,7.50,"Adventure,Drama,History"
100,tt0082495,Halloween II,1981,6.60,Horror
101,tt0082526,Hoodwink,1981,6.40,"Crime,Drama,Romance"
102,tt0082694,The Road Warrior,1981,7.60,"Action,Adventure,Sci-Fi"
103,tt0082816,The Night the Lights Went Out in Georgia,1981,6.00,"Drama,Music"
104,tt0082933,Possession,1981,7.40,"Drama,Horror"
105,tt0082947,Prisoners,1981,5.20,Drama
106,tt0082964,Quartet,1981,6.50,"Drama,Romance"
107,tt0083000,Road Games,1981,6.70,"Mystery,Thriller"
108,tt0083001,Roar,1981,6.30,"Adventure,Thriller"
109,tt0083169,Taps,1981,6.70,Drama
110,tt0083254,Under the Rainbow,1981,5.40,Comedy
111,tt0083331,Winter of Our Dreams,1981,6.50,"Drama,Romance"
112,tt0083591,Attack Force Z,1981,5.60,"Action,Drama,History"
113,tt0084445,One from the Heart,1981,6.50,"Drama,Musical,Romance"
114,tt0085872,The Loveless,1981,6.20,Drama
115,tt0089146,Tristan and Isolde,1981,6.60,"Adventure,Romance"
116,tt0250034,Teenage Suicide: Don't Try It!,1981,6.70,\N
117,tt1754024,Kopfstand,1981,7.40,Drama
118,tt0079891,The Shaolin Temple,1982,7.10,"Action,Drama"
119,tt0082639,"Ladies and Gentlemen, the Fabulous Stains",1982,6.90,"Comedy,Drama,Music"
120,tt0082656,Liar's Moon,1982,5.90,"Drama,Romance"
121,tt0082799,Movie Madness,1982,2.90,Comedy
122,tt0083219,All Fired Up,1982,6.30,"Action,Comedy,Drama"
123,tt0083511,48 Hrs.,1982,6.90,"Action,Comedy,Crime"
124,tt0083567,Antonieta,1982,5.80,"Biography,Drama,War"
125,tt0083686,La boum 2,1982,6.20,"Comedy,Drama,Romance"
126,tt0083717,Cannery Row,1982,6.60,"Comedy,Drama"
127,tt0083722,Cat People,1982,6.10,"Fantasy,Horror,Thriller"
128,tt0083731,Chasing Dreams,1982,3.30,Drama
129,tt0083833,Diner,1982,7.20,"Comedy,Drama"
130,tt0083866,E.T. the Extra-Terrestrial,1982,7.90,"Family,Sci-Fi"
131,tt0083929,Fast Times at Ridgemont High,1982,7.20,"Comedy,Drama"
132,tt0083941,The Final Option,1982,6.30,"Action,Thriller"
133,tt0083962,Forty Deuce,1982,5.80,Drama
134,tt0084021,Grease 2,1982,4.20,"Comedy,Drama,Musical"
135,tt0084049,Hanky Panky,1982,5.60,"Action,Comedy,Crime"
136,tt0084059,Heatwave,1982,6.40,Drama
137,tt0084266,Dragon Strike,1982,6.60,"Action,Comedy,Sport"
138,tt0084431,O'Hara's Wife,1982,5.20,"Comedy,Drama"
139,tt0084434,An Officer and a Gentleman,1982,7.00,"Drama,Romance"
140,tt0084472,Parasite,1982,3.60,"Horror,Sci-Fi"
141,tt0084490,False Eyelash,1982,5.90,\N
142,tt0084539,Privileged,1982,6.30,"Comedy,Drama"
143,tt0084690,Six Pack,1982,5.80,"Comedy,Drama,Sport"
144,tt0084737,Summer Lovers,1982,5.70,"Comedy,Drama,Romance"
145,tt0084756,Tag: The Assassination Game,1982,6.00,"Action,Thriller"
146,tt0084783,Tex,1982,6.60,Drama
147,tt0086617,The Year of Living Dangerously,1982,7.20,"Drama,Romance,War"
148,tt0251023,Citizen,1982,6.10,Drama
149,tt0079509,Dragon Attack,1983,4.90,"Action,Adventure,Comedy"
150,tt0084358,Deadly Circuit,1983,7.30,"Crime,Mystery,Romance"
151,tt0084723,Stacy's Knights,1983,4.70,Drama
152,tt0085127,Project A,1983,7.40,"Action,Comedy"
153,tt0085154,All the Right Moves,1983,5.90,"Drama,Romance,Sport"
154,tt0085204,BMX Bandits,1983,5.40,"Adventure,Crime,Drama"
155,tt0085210,Bad Boys,1983,7.20,"Crime,Drama,Thriller"
156,tt0085346,Class,1983,5.90,"Comedy,Drama,Romance"
157,tt0085398,Daniel,1983,6.70,Drama
158,tt0085494,Enormous Changes at the Last Minute,1983,5.40,Drama
159,tt0085513,Exposed,1983,5.10,"Drama,Music"
160,tt0085568,Spring Symphony,1983,6.20,"Biography,Music"
161,tt0085724,Independence Day,1983,6.50,"Drama,Romance"
162,tt0085750,Jaws 3-D,1983,3.60,"Adventure,Horror,Thriller"
163,tt0085864,Fearless Hyena 2,1983,5.30,Action
164,tt0085868,Losin' It,1983,4.90,"Comedy,Drama"
165,tt0085871,Love Letters,1983,6.10,"Drama,Romance"
166,tt0085878,The Moon in the Gutter,1983,6.10,Drama
167,tt0085894,The Man with Two Brains,1983,6.40,"Comedy,Romance,Sci-Fi"
168,tt0085919,Max Dugan Returns,1983,6.60,"Comedy,Drama"
169,tt0086066,The Outsiders,1983,7.20,"Crime,Drama"
170,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.30,"Action,Adventure,Fantasy"
171,tt0086197,The Right Stuff,1983,7.90,"Adventure,Biography,Drama"
172,tt0086200,Risky Business,1983,6.80,"Comedy,Crime,Drama"
173,tt0086216,Rumble Fish,1983,7.20,Drama
174,tt0086250,Scarface,1983,8.30,"Crime,Drama"
175,tt0086346,Spacehunter: Adventures in the Forbidden Zone,1983,5.30,"Action,Adventure,Sci-Fi"
176,tt0086409,Taking Tiger Mountain,1983,6.10,Sci-Fi
177,tt0086425,Terms of Endearment,1983,7.40,"Comedy,Drama"
178,tt0086461,Tough Enough,1983,5.50,"Action,Drama,Romance"
179,tt0086465,Trading Places,1983,7.50,Comedy
180,tt0086525,Valley Girl,1983,6.40,"Comedy,Romance"
181,tt0086567,WarGames,1983,7.10,"Sci-Fi,Thriller"
182,tt0086605,Winners & Sinners,1983,6.80,"Action,Comedy,Crime"
183,tt0086655,One Deadly Summer,1983,7.40,"Drama,Mystery"
184,tt0087746,Mortuary,1983,5.10,Horror
185,tt0086293,El se??or Gal??ndez,1984,4.70,\N
186,tt0086301,Shaolin Temple 2: Kids from Shaolin,1984,6.40,"Action,Comedy"
187,tt0086904,Another Country,1984,7.20,"Biography,Drama,Romance"
188,tt0086927,Bachelor Party,1984,6.30,Comedy
189,tt0086942,The Bay Boy,1984,6.40,Drama
190,tt0086955,Best Defense,1984,3.60,"Comedy,War"
191,tt0086960,Beverly Hills Cop,1984,7.30,"Action,Comedy,Crime"
192,tt0086969,Birdy,1984,7.30,"Drama,War"
193,tt0086973,Blame It on Rio,1984,5.70,"Comedy,Romance"
194,tt0086979,Blood Simple.,1984,7.70,"Crime,Drama,Thriller"
195,tt0086984,Body Double,1984,6.80,"Mystery,Thriller"
196,tt0086993,The Bounty,1984,7.10,"Action,Adventure,Drama"
197,tt0087001,A Breed Apart,1984,5.50,"Action,Drama"
198,tt0087050,Children of the Corn,1984,5.60,"Horror,Thriller"
199,tt0087089,The Cotton Club,1984,6.50,"Crime,Drama,Music"
200,tt0087096,Crackers,1984,5.10,"Adventure,Comedy,Crime"
201,tt0087100,Crimes of Passion,1984,6.30,"Drama,Romance,Thriller"
202,tt0087175,Dreamscape,1984,6.30,"Action,Adventure,Horror"
203,tt0087182,Dune,1984,6.60,"Action,Adventure,Sci-Fi"
204,tt0087197,Electric Dreams,1984,6.50,"Comedy,Drama,Music"
205,tt0087247,Fear City,1984,5.60,"Crime,Drama,Mystery"
206,tt0087262,Firestarter,1984,6.00,"Action,Horror,Sci-Fi"
207,tt0087265,The Flamingo Kid,1984,6.20,"Comedy,Drama,Romance"
208,tt0087277,Footloose,1984,6.50,"Drama,Music,Romance"
209,tt0087284,Fort Saganne,1984,6.20,"Drama,History,War"
210,tt0087313,Garbo Talks,1984,6.40,"Comedy,Drama"
211,tt0087359,"Grandview, U.S.A.",1984,5.20,Drama
212,tt0087428,The Hotel New Hampshire,1984,6.00,"Comedy,Drama"
213,tt0087452,Iceman,1984,6.20,"Drama,Sci-Fi"
214,tt0087482,Irreconcilable Differences,1984,5.80,"Comedy,Drama,Romance"
215,tt0087514,Happy Easter,1984,6.30,Comedy
216,tt0087538,The Karate Kid,1984,7.20,"Action,Drama,Family"
217,tt0087578,Wheels on Meals,1984,7.30,"Action,Comedy,Crime"
218,tt0087599,Last Winter,1984,5.00,"Drama,War"
219,tt0087682,Maria's Lovers,1984,6.70,"Drama,Romance"
220,tt0087722,Mike's Murder,1984,5.60,"Drama,Mystery,Thriller"
221,tt0087739,Monaco Forever,1984,4.20,Comedy
222,tt0087751,Mrs. Soffel,1984,6.30,"Drama,Romance"
223,tt0087800,A Nightmare on Elm Street,1984,7.50,Horror
224,tt0087810,No Small Affair,1984,5.50,"Comedy,Drama,Music"
225,tt0087866,Oxford Blues,1984,5.30,"Comedy,Drama,Sport"
226,tt0087884,"Paris, Texas",1984,8.10,Drama
227,tt0087892,A Passage to India,1984,7.40,"Adventure,Drama,History"
228,tt0087932,The Pope of Greenwich Village,1984,6.70,"Action,Comedy,Crime"
