MLN_MID,IMDbMovieID,MovieName,MovieYear,MovieRating,MovieGenreList
8,tt0070510,Paper Moon,1973,8.2,"Comedy,Crime,Drama"
22,tt0074811,The Tenant,1976,7.8,"Drama,Thriller"
25,tt0075314,Taxi Driver,1976,8.3,"Crime,Drama"
38,tt0076759,Star Wars: Episode IV - A New Hope,1977,8.6,"Action,Adventure,Fantasy"
46,tt0077651,Halloween,1978,7.8,"Horror,Thriller"
55,tt0078902,Breaking Away,1979,7.7,"Comedy,Drama,Romance"
72,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,"Action,Adventure,Fantasy"
82,tt0081283,Ordinary People,1980,7.8,Drama
130,tt0083866,E.T. the Extra-Terrestrial,1982,7.9,"Family,Sci-Fi"
170,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Action,Adventure,Fantasy"
171,tt0086197,The Right Stuff,1983,7.9,"Adventure,Biography,Drama"
174,tt0086250,Scarface,1983,8.3,"Crime,Drama"
194,tt0086979,Blood Simple.,1984,7.7,"Crime,Drama,Thriller"
226,tt0087884,"Paris, Texas",1984,8.1,Drama
239,tt0088247,The Terminator,1984,8,"Action,Sci-Fi"
256,tt0088763,Back to the Future,1985,8.5,"Adventure,Comedy,Sci-Fi"
258,tt0088847,The Breakfast Club,1985,7.9,"Comedy,Drama"
261,tt0088939,The Color Purple,1985,7.8,Drama
268,tt0089218,The Goonies,1985,7.8,"Adventure,Comedy,Family"
289,tt0089853,The Purple Rose of Cairo,1985,7.7,"Comedy,Fantasy,Romance"
316,tt0092048,Tampopo,1985,7.9,Comedy
325,tt0090756,Blue Velvet,1986,7.8,"Drama,Mystery,Thriller"
335,tt0091042,Ferris Bueller's Day Off,1986,7.8,Comedy
360,tt0091638,No Picnic,1986,7.7,Drama
363,tt0091725,Parting Glances,1986,7.7,"Drama,Music,Romance"
365,tt0091763,Platoon,1986,8.1,"Drama,War"
372,tt0092005,Stand by Me,1986,8.1,"Adventure,Drama"
375,tt0092067,Castle in the Sky,1986,8.1,"Adventure,Animation,Family"
410,tt0092965,Empire of the Sun,1987,7.8,"Drama,History,War"
434,tt0093512,Maurice,1987,7.7,"Drama,Romance"
444,tt0093779,The Princess Bride,1987,8.1,"Adventure,Family,Fantasy"
462,tt0094226,The Untouchables,1987,7.9,"Crime,Drama,Thriller"
467,tt0094336,Withnail & I,1987,7.8,"Comedy,Drama"
503,tt0095016,Die Hard,1988,8.2,"Action,Thriller"
531,tt0095647,Mississippi Burning,1988,7.8,"Crime,Drama,History"
544,tt0095953,Rain Man,1988,8,Drama
547,tt0096018,Running on Empty,1988,7.7,"Crime,Drama,Music"
563,tt0096289,Torch Song Trilogy,1988,7.7,"Comedy,Drama,Romance"
584,tt0246427,Das andere Ende der Welt,1988,7.8,\N
599,tt0096874,Back to the Future Part II,1989,7.8,"Adventure,Comedy,Sci-Fi"
612,tt0097165,Dead Poets Society,1989,8.1,"Comedy,Drama"
624,tt0097441,Glory,1989,7.9,"Biography,Drama,History"
628,tt0097499,Henry V,1989,7.7,"Action,Biography,Drama"
637,tt0097814,Kiki's Delivery Service,1989,7.9,"Adventure,Animation,Drama"
642,tt0097937,My Left Foot,1989,7.9,"Biography,Drama"
705,tt0099348,Dances with Wolves,1990,8,"Adventure,Drama,Western"
711,tt0099487,Edward Scissorhands,1990,7.9,"Drama,Fantasy,Romance"
723,tt0099685,Goodfellas,1990,8.7,"Biography,Crime,Drama"
745,tt0100150,Miller's Crossing,1990,7.8,"Crime,Drama,Thriller"
803,tt0101410,Barton Fink,1991,7.7,"Comedy,Drama,Thriller"
808,tt0101507,Boyz n the Hood,1991,7.8,"Crime,Drama"
838,tt0102138,JFK,1991,8,"Drama,History,Thriller"
